LAKE INFORMATION,Giles,Lacawac,Waynewood
County,Pike,Wayne,Wayne
Latitude,41,41,41
Longitude,75,75,75
Elevation,428,439,421
Watershed Area (ha),183,70,728
Lake Area (ha),48.1,21.4,28
"Lake Volume (m^3, x10^6)",4.88,1.2,1.67
Maximum Depth (m),24.1,13,12.5
Mean Depth (m),10.1,5.2,6
Retention Time (years),5.6,3.3,0.42
Surface Temperature (C),,,
Bottom Temperature (C),,,
Chlorophyll (ug/L),1.54,2.31,12.5
Secchi Depth (m),6.27,3.84,1.78
z1% PAR (m),13.2,5.33,3.72
z1% UV 320 nm (m),2.03,0.34,0.26
DOC (mg/L),2.46,5.74,7.03
pH,6.43,6.31,7.46
Alkalinity (ueq/L),32.8,84.2,349
Total Phosphorus (ugP/L),7.19,11.6,22.8
Total Nitrogen (mgN/L),0.16,0.29,0.47
