Site,Date,UpperDepth,LowerDepth,Variable,Value,Unit,MethodID
Lacawac,7/8/2016,8,8,temp,7.6,DegreesCelsius,Method002
Giles,4/9/1992,15,15,temp,3.8,DegreesCelsius,Method002
Giles,10/15/2010,13,13,temp,9.4,DegreesCelsius,Method002
Giles,7/26/1995,4,4,temp,24.9,DegreesCelsius,Method002
Waynewood,7/15/1992,9,9,temp,6.8,DegreesCelsius,Method002
Giles,6/28/2012,3,3,temp,22.1,DegreesCelsius,Method002
Waynewood,5/17/1991,10,10,temp,6.4,DegreesCelsius,Method002
Lacawac,11/20/1997,0,0,temp,4.5,DegreesCelsius,Method002
Giles,6/21/1988,15,15,temp,5,DegreesCelsius,Method002
Lacawac,9/18/1990,12,12,temp,7.1,DegreesCelsius,Method002
Giles,8/6/1996,8,8,temp,21.9,DegreesCelsius,Method002
Giles,4/21/1997,22,22,temp,6.5,DegreesCelsius,Method002
Lacawac,6/13/1996,0,0,temp,25.4,DegreesCelsius,Method002
Lacawac,8/3/2018,3,3,temp,25.4,DegreesCelsius,Method144
Lacawac,7/22/2016,4,4,temp,20.6,DegreesCelsius,Method144
Lacawac,7/10/2009,3,3,temp,21.9,DegreesCelsius,Method002
Giles,8/1/1989,20,20,temp,8.5,DegreesCelsius,Method002
Giles,6/21/1988,17,17,temp,5,DegreesCelsius,Method002
Waynewood,7/16/2015,5,5,temp,12.3,DegreesCelsius,Method002
Giles,11/19/1990,11,11,temp,7.9,DegreesCelsius,Method002
Giles,4/21/1997,20,20,temp,6.5,DegreesCelsius,Method002
Lacawac,9/14/2009,6,6,temp,12.8,DegreesCelsius,Method002
Giles,4/9/1992,16,16,temp,3.8,DegreesCelsius,Method002
Lacawac,8/14/2018,9,9,temp,6.8,DegreesCelsius,Method144
Giles,2/16/1990,7,7,temp,4.3,DegreesCelsius,Method002
Lacawac,6/15/2005,5,5,temp,10.8,DegreesCelsius,Method002
Lacawac,8/3/2018,9,9,temp,6.7,DegreesCelsius,Method144
Giles,4/21/1997,-1,-1,temp,4.7,DegreesCelsius,Method002
Giles,9/8/1991,8,8,temp,22.2,DegreesCelsius,Method002
Lacawac,7/10/2009,2,2,temp,22.5,DegreesCelsius,Method002
Lacawac,8/14/2018,10,10,temp,6.6,DegreesCelsius,Method144
Lacawac,7/20/1993,-1,-1,temp,28.9,DegreesCelsius,Method002
Giles,8/22/2000,1,1,temp,21.4,DegreesCelsius,Method002
Giles,8/15/2017,10,10,temp,10.4,DegreesCelsius,Method144
Giles,9/25/2015,5,5,temp,20.7,DegreesCelsius,Method002
Giles,6/5/1997,7,7,temp,14.4,DegreesCelsius,Method002
Waynewood,6/13/1996,9,9,temp,7.4,DegreesCelsius,Method002
Giles,8/18/2014,15,15,temp,6.2,DegreesCelsius,Method002
Giles,11/19/1990,13,13,temp,7.9,DegreesCelsius,Method002
Lacawac,8/16/2011,12,12,temp,6.4,DegreesCelsius,Method002
Waynewood,8/3/2018,0,0,temp,25.2,DegreesCelsius,Method144
Giles,5/19/2009,16,16,temp,6.5,DegreesCelsius,Method002
Giles,8/1/1989,21,21,temp,8.4,DegreesCelsius,Method002
Giles,9/11/2017,20,20,temp,5.4,DegreesCelsius,Method144
Giles,7/26/1995,9,9,temp,18.7,DegreesCelsius,Method002
Giles,7/15/2016,17,17,temp,7.1,DegreesCelsius,Method144
Lacawac,4/20/1993,1,1,temp,8.3,DegreesCelsius,Method002
Lacawac,8/14/2018,11,11,temp,6.5,DegreesCelsius,Method144
Lacawac,8/16/2011,0,0,temp,22.5,DegreesCelsius,Method002
Lacawac,7/10/2009,1,1,temp,23.1,DegreesCelsius,Method002
Giles,4/11/2006,1,1,temp,6.8,DegreesCelsius,Method002
Waynewood,7/16/2018,5,5,temp,9.8,DegreesCelsius,Method144
