,lake,year,month,layer,group,genus,var,value,units,SamplingMethodID,MethodID
1,Giles,1990,3,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
2,Giles,1990,4,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
3,Giles,1990,5,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
4,Giles,1990,6,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
5,Giles,1990,7,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
6,Giles,1990,8,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
7,Giles,1990,9,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
8,Giles,1990,10,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
9,Giles,1990,11,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
10,Giles,1990,12,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
11,Giles,1992,1,whole column,Bosmina,Bosmina,abundance,0.03,org per liter,Method026,Method028
12,Giles,1992,2,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
13,Giles,1992,4,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
14,Giles,1992,5,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
15,Giles,1992,6,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
16,Giles,1992,7,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
17,Giles,1992,8,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
18,Giles,1992,9,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
19,Giles,1992,10,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
20,Giles,1992,11,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
21,Giles,1993,1,whole column,Bosmina,Bosmina,abundance,0,org per liter,Method026,Method028
